26,3,2018,The West Cornwall Pasty Company,Eating Out,6,1673
26,3,2018,South West Trains,Transport,29,1679
24,3,2018,Restaurant Gordon RamsayPortland Restaurant,Eating Out,54,1708
24,3,2018,O2,Bills,31,1762
23,3,2018,Restaurant Gordon RamsayPortland Restaurant,Eating Out,48,1793
23,3,2018,Pret A Manger,Eating Out,4,1841
23,3,2018,Wild Bean Cafe,Eating Out,2,1845
23,3,2018,Morrisons,Groceries,70,1847
22,3,2018,Subway,Eating Out,6,1917
22,3,2018,Costa Coffee,Eating Out,2,1923
21,3,2018,ATM Cash Withdrawal,General,20,1925
21,3,2018,Pret A Manger,Eating Out,4,1945
21,3,2018,Starbucks Coffee,Eating Out,2,1949
20,3,2018,The West Cornwall Pasty Company,Eating Out,7,1951
20,3,2018,Starbucks Coffee,Eating Out,1,1958
20,3,2018,VIRGIN MEDIA PYMTS,Bills,47,1959
19,3,2018,The West Cornwall Pasty Company,Eating Out,5,2006
19,3,2018,Caffe Nero,Eating Out,1,2011
19,3,2018,South West Trains,Transport,38,2012
17,3,2018,ATM Cash Withdrawal,General,10,2050
16,3,2018,Dominos Pizza,Eating Out,31,2060
16,3,2018,Greggs,Eating Out,6,2091
16,3,2018,Morrisons,Groceries,82,2097
16,3,2018,LBS Council Tax,Bills,50,2179
15,3,2018,Pret A Manger,Eating Out,5,2229
15,3,2018,Wild Bean Cafe,Eating Out,2,2234
15,3,2018,BRGAS-Gas,Bills,34,2236
15,3,2018,BRGAS-Electricity,Bills,38,2270
14,3,2018,ATM Cash Withdrawal,General,20,2308
14,3,2018,The West Cornwall Pasty Company,Eating Out,8,2328
14,3,2018,Wild Bean Cafe,Eating Out,2,2336
13,3,2018,Wild Bean Cafe,Eating Out,2,2338
12,3,2018,Subway,Eating Out,4,2340
12,3,2018,Caffe Nero,Eating Out,2,2344
12,3,2018,South West Trains,Transport,33,2346
10,3,2018,Pizza Express,Eating Out,51,2379
9,3,2018,The West Cornwall Pasty Company,Eating Out,6,2430
9,3,2018,Waitrose,Groceries,73,2436
8,3,2018,Wild Bean Cafe,Eating Out,2,2509
7,3,2018,Subway,Eating Out,4,2511
7,3,2018,Starbucks Coffee,Eating Out,2,2515
7,3,2018,Cubit and West rent,Rent,550,2517
5,3,2018,Pret A Manger,Eating Out,4,3067
5,3,2018,Costa Coffee,Eating Out,2,3071
5,3,2018,South West Trains,Transport,32,3073
4,3,2018,ATM Cash Withdrawal,General,10,3105
4,3,2018,Anglo restaurant,Eating Out,42,3115
3,3,2018,Dominos Pizza,Eating Out,33,3157
2,3,2018,Anglo restaurant,Eating Out,31,3190
2,3,2018,Morrisons,Groceries,43,3221
1,3,2018,Subway,Eating Out,5,3264
1,3,2018,Starbucks Coffee,Eating Out,1,3269
1,3,2018,Rhino Sports salary,General,1700,3270
