30,11,2017,Pret A Manger,Eating Out,4,1692
30,11,2017,Caffe Nero,Eating Out,1,1696
29,11,2017,ATM Cash Withdrawal,General,20,1697
29,11,2017,Subway,Eating Out,4,1717
28,11,2017,ATM Cash Withdrawal,General,20,1721
28,11,2017,McDonalds,Eating Out,7,1741
28,11,2017,Costa Coffee,Eating Out,2,1748
27,11,2017,ATM Cash Withdrawal,General,10,1750
27,11,2017,Costa Coffee,Eating Out,2,1760
27,11,2017,South West Trains,Transport,26,1762
26,11,2017,ATM Cash Withdrawal,General,10,1788
25,11,2017,Pizza Express,Eating Out,41,1798
24,11,2017,The West Cornwall Pasty Company,Eating Out,4,1839
24,11,2017,Starbucks Coffee,Eating Out,2,1843
24,11,2017,ASDA,Groceries,57,1845
24,11,2017,O2,Bills,33,1902
23,11,2017,McDonalds,Eating Out,8,1935
23,11,2017,Costa Coffee,Eating Out,2,1943
22,11,2017,Greggs,Eating Out,7,1945
22,11,2017,Starbucks Coffee,Eating Out,1,1952
21,11,2017,ATM Cash Withdrawal,General,10,1953
20,11,2017,South West Trains,Transport,26,1963
20,11,2017,VIRGIN MEDIA PYMTS,Bills,49,1989
19,11,2017,ATM Cash Withdrawal,General,10,2038
18,11,2017,ATM Cash Withdrawal,General,10,2048
17,11,2017,Pizza Express,Eating Out,46,2058
17,11,2017,McDonalds,Eating Out,6,2104
17,11,2017,Starbucks Coffee,Eating Out,1,2110
17,11,2017,Sainsburys,Groceries,79,2111
16,11,2017,ATM Cash Withdrawal,General,20,2190
16,11,2017,Wild Bean Cafe,Eating Out,1,2210
16,11,2017,LBS Council Tax,Bills,50,2211
15,11,2017,McDonalds,Eating Out,4,2261
15,11,2017,Caffe Nero,Eating Out,2,2265
15,11,2017,BRGAS-Gas,Bills,85,2267
15,11,2017,BRGAS-Electricity,Bills,62,2352
14,11,2017,ATM Cash Withdrawal,General,20,2414
14,11,2017,Pret A Manger,Eating Out,6,2434
13,11,2017,ATM Cash Withdrawal,General,20,2440
13,11,2017,Greggs,Eating Out,8,2460
13,11,2017,South West Trains,Transport,30,2468
11,11,2017,ATM Cash Withdrawal,General,10,2498
11,11,2017,Scott's Restaurant,Eating Out,37,2508
10,11,2017,ATM Cash Withdrawal,General,10,2545
10,11,2017,Dominos Pizza,Eating Out,51,2555
10,11,2017,The Grand Pub,Eating Out,13,2606
10,11,2017,The Grand Pub,Eating Out,16,2619
10,11,2017,The Grand Pub,Eating Out,5,2635
10,11,2017,The Grand Pub,Eating Out,5,2640
10,11,2017,The Grand Pub,Eating Out,14,2645
10,11,2017,The Grand Pub,Eating Out,9,2659
10,11,2017,The West Cornwall Pasty Company,Eating Out,7,2668
10,11,2017,Caffe Nero,Eating Out,2,2675
10,11,2017,ASDA,Groceries,71,2677
9,11,2017,Greggs,Eating Out,8,2748
9,11,2017,Wild Bean Cafe,Eating Out,1,2756
8,11,2017,Caffe Nero,Eating Out,2,2757
7,11,2017,Costa Coffee,Eating Out,2,2759
7,11,2017,Cubit and West rent,Rent,550,2761
6,11,2017,ATM Cash Withdrawal,General,10,3311
6,11,2017,Wild Bean Cafe,Eating Out,2,3321
6,11,2017,South West Trains,Transport,29,3323
5,11,2017,ATM Cash Withdrawal,General,10,3352
5,11,2017,Dominos Pizza,Eating Out,58,3362
3,11,2017,The West Cornwall Pasty Company,Eating Out,4,3420
3,11,2017,Costa Coffee,Eating Out,2,3424
3,11,2017,Tescos,Groceries,55,3426
2,11,2017,McDonalds,Eating Out,7,3481
2,11,2017,Caffe Nero,Eating Out,2,3488
1,11,2017,Caffe Nero,Eating Out,2,3490
1,11,2017,Rhino Sports salary,General,1700,3492
